ID,NAME,LAT,LONG,ELEVATION
1,t239738,23.885,73.750,212.000
3,t242738,24.198,73.750,362.000
5,t245738,24.510,73.750,590.000
7,t239741,23.885,74.063,139.000
9,t242741,24.198,74.063,344.000
11,t245741,24.510,74.063,434.000
13,t239744,23.885,74.375,207.000
15,t242744,24.198,74.375,356.000
17,t245744,24.510,74.375,466.000
