ID,NAME,LAT,LONG,ELEVATION
1,s239738,23.885,73.750,212.000
3,s242738,24.198,73.750,362.000
5,s245738,24.510,73.750,590.000
7,s239741,23.885,74.063,139.000
9,s242741,24.198,74.063,344.000
11,s245741,24.510,74.063,434.000
13,s239744,23.885,74.375,207.000
15,s242744,24.198,74.375,356.000
17,s245744,24.510,74.375,466.000
