20000101
23.060,4.767
22.739,5.533
21.857,5.707
22.329,6.293
22.994,4.666
21.252,5.630
21.218,7.019
22.257,5.688
24.306,6.233
26.773,6.934
26.843,7.313
27.503,8.204
26.449,11.538
25.327,12.339
26.721,8.171
24.085,10.955
22.707,7.230
22.843,7.407
23.323,8.100
24.820,10.095
24.566,6.490
27.845,10.126
26.038,8.693
24.632,7.894
24.846,7.108
25.707,5.823
27.309,8.439
25.755,9.675
23.415,10.410
24.391,8.307
26.377,9.564
29.239,12.711
27.587,14.167
27.727,11.289
28.156,11.436
24.899,15.264
23.020,12.454
24.120,11.685
25.291,7.750
25.792,8.799
25.903,7.080
21.847,12.888
25.853,15.068
25.302,11.134
25.525,10.678
25.605,9.204
27.103,7.480
27.384,8.259
26.274,9.540
26.939,8.492
27.074,6.012
22.536,12.839
27.885,10.217
26.760,9.236
26.941,9.770
26.674,10.195
25.486,11.673
27.478,8.847
27.667,9.675
30.815,12.020
32.422,12.906
31.376,15.333
32.503,15.008
33.962,16.492
34.021,17.216
32.719,15.657
35.734,14.272
32.446,18.999
29.274,14.526
30.583,13.871
34.079,13.439
34.661,15.755
34.124,16.182
31.646,17.595
30.273,15.718
31.062,14.976
32.851,14.735
35.996,16.621
32.875,15.639
32.405,14.292
34.114,12.587
38.448,17.699
34.657,22.628
32.763,18.815
33.396,15.992
33.717,14.578
36.108,16.053
34.407,18.569
37.050,15.272
36.452,15.986
39.053,20.741
39.665,19.476
39.641,22.972
39.121,21.047
39.007,20.811
39.585,18.554
39.879,19.344
39.631,17.979
40.685,19.643
40.348,20.587
38.787,17.763
40.049,21.981
38.444,18.733
40.277,21.443
41.281,22.196
41.254,23.941
42.235,24.781
39.463,24.198
40.751,23.169
42.196,25.050
42.792,25.281
44.084,24.483
42.413,22.955
40.809,24.259
40.054,26.702
41.561,22.975
41.480,22.741
43.010,22.990
42.776,25.296
43.210,23.987
42.654,22.982
42.611,24.860
42.153,24.901
38.681,26.396
37.815,24.068
37.670,24.287
38.548,24.851
40.229,25.065
41.659,25.209
43.105,23.927
41.390,26.193
45.190,26.926
42.455,27.106
43.034,26.834
42.716,30.458
38.648,27.888
38.487,26.834
42.645,27.396
43.765,26.908
42.481,30.762
42.528,27.925
41.904,27.034
35.750,25.746
38.122,25.626
38.609,25.255
41.990,27.991
43.557,30.463
43.384,26.332
44.538,27.428
44.398,30.424
42.697,27.700
40.983,28.896
38.740,27.123
38.542,27.057
39.176,26.494
37.478,27.528
35.924,26.231
28.166,25.239
31.620,24.869
36.028,25.283
36.968,25.644
35.944,25.882
38.381,25.435
40.302,26.889
40.293,27.545
40.586,27.664
35.464,27.176
35.522,26.083
33.698,28.026
32.651,26.178
27.511,25.034
33.365,24.682
33.280,24.611
32.695,24.887
35.335,24.895
37.451,25.360
36.519,25.864
38.037,27.715
36.033,26.304
35.606,25.315
32.164,25.361
35.022,24.220
36.452,25.105
37.008,26.354
35.608,26.029
36.417,25.783
40.863,27.396
40.682,29.316
30.490,25.284
38.131,24.803
36.413,25.262
36.038,26.543
32.934,25.520
30.656,25.225
31.837,24.629
34.553,23.419
32.959,25.171
33.071,24.651
33.783,24.248
29.766,24.362
28.202,23.982
30.729,23.552
29.099,22.358
30.878,22.652
30.563,22.986
30.590,23.410
29.003,23.623
29.358,23.802
29.090,23.970
31.297,23.175
30.796,23.771
33.472,23.538
32.177,24.319
29.573,24.212
32.604,23.825
32.964,23.353
33.952,23.957
34.298,23.943
33.494,24.809
35.527,23.847
33.720,25.001
30.352,24.232
30.948,23.412
30.080,23.274
32.724,24.437
35.412,24.194
33.382,23.370
31.898,23.264
31.516,22.948
30.710,23.429
29.852,23.036
30.764,23.532
32.121,23.708
31.439,24.125
32.428,23.931
32.572,23.280
33.160,23.045
33.529,23.415
34.136,23.749
33.342,23.028
33.851,22.962
33.570,22.332
30.299,22.629
28.655,23.288
24.363,23.137
27.516,22.903
27.261,22.276
31.615,22.266
29.728,22.299
30.514,23.270
30.341,23.901
29.694,23.205
27.699,23.030
29.616,22.422
31.327,21.947
31.231,21.202
30.420,18.607
29.107,20.237
27.680,23.349
32.147,22.750
30.556,23.979
26.189,23.053
26.158,21.816
25.180,21.777
28.073,22.150
27.660,22.930
28.251,21.235
28.869,20.031
30.362,20.169
30.198,19.046
30.202,18.608
30.846,17.999
30.146,17.855
31.195,17.101
29.938,18.199
29.439,18.460
30.473,22.165
32.071,19.745
31.695,19.997
32.246,21.385
33.815,21.550
33.864,21.933
33.683,21.501
32.180,21.617
31.497,19.233
30.569,18.118
30.549,16.993
29.678,14.258
29.316,11.857
29.937,13.574
30.204,16.146
32.470,18.358
33.594,19.735
31.758,18.155
31.884,16.201
30.964,14.776
30.286,15.757
31.109,14.896
31.132,14.621
29.917,12.387
29.107,14.411
28.430,15.777
28.199,16.874
28.034,13.640
28.800,13.248
29.301,15.231
30.276,15.375
29.697,16.697
30.185,16.328
29.027,15.071
29.531,14.212
